MINS_ELAPSED,pH,pH_MIN,pH_MAX,M_BUTENEDIAL,M_BUTENEDIAL_MIN,M_BUTENEDIAL_MAX,M_C4H5NO,M_C4H5NO_MIN,M_C4H5NO_MAX,M_DIMER,M_DIMER_MIN,M_DIMER_MAX,M_NH
1084,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3952215265668692,0.3648858060590343,0.4183247063119146,0.010632461433806414,0.007245932659453455,0.014896305946648843,0.0007189430081916303,0.0002554280886360291,0.001268729611745026,0.41226698111232374
1085,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.39513680170662063,0.36474720598514937,0.4182910580882277,0.01063776228612928,0.007248991430390867,0.014906168890430487,0.0007200134570056185,0.00025586484148534035,0.001270341529088122,0.41218225625207516
1086,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.39505244781504223,0.36460850456425387,0.4182573703557851,0.01064322080804457,0.00725204136796517,0.01491602094472511,0.0007210839789563963,0.0002563018660592062,0.0012719525904572474,0.41209790236049676
1087,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3949682525289804,0.3644697020489916,0.4182236430992056,0.010648327977361486,0.0072550824716885376,0.014925862100925313,0.0007221545718798713,0.00025673916197790485,0.0012735627918102012,0.4120137070744349
1088,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.394884684092412,0.36433079869230856,0.4181898763031648,0.01065253634206363,0.007258114741103888,0.014935692350441818,0.0007232252336126364,0.0002571767288613285,0.001275172129113476,0.41193013863786654
1089,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3948006699304635,0.3641917947474502,0.4181560699523962,0.010658309106016485,0.007261138175784925,0.01494551168470354,0.0007242959619919795,0.00025761456632898385,0.0012767805982299635,0.411846124475918
1090,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3947167286581639,0.3640526904679592,0.4181222240316905,0.010663007939723041,0.007264152775336173,0.014955320095157603,0.0007253667548558931,0.0002580526739999918,0.001278388194964964,0.4117621832036184
1091,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3946334585096399,0.3639134861076727,0.4180883385258964,0.010667306360772082,0.007267158539393019,0.014965117573269444,0.000726437610043085,0.0002584910514930879,0.0012799949152935512,0.4116789130550944
1092,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3945485417667428,0.36377418192072025,0.4180544134199198,0.010672811764156642,0.007270155467621734,0.014974904110522819,0.0007275085253929865,0.00025892969842662234,0.0012816007552008324,0.41159399631219734
1093,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.39446292637741387,0.3636347781615209,0.4180204486987247,0.010677895543371835,0.007273143559719528,0.01498467969841989,0.0007285742086699285,0.00025936861441855987,0.0012832057106802975,0.4115083809228684
1094,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3943803956317209,0.3634952750847811,0.41798644434733295,0.010682839900117513,0.00727612281541457,0.014994444328481266,0.0007296285068644819,0.00025980779908648044,0.0012848097777338411,0.4114258501771754
1095,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.39429979519251945,0.363355672945492,0.4179524003508241,0.010687216571711778,0.007279093234466035,0.01500419799224606,0.0007306827895565415,0.00026024725204757857,0.0012864129523717828,0.411345249737974
1096,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3942178532547673,0.3632159719989269,0.41791831669433577,0.010692000072630915,0.007282054816664133,0.015013940681271938,0.0007317370545137454,0.00026068697291866424,0.0012880152306128864,0.41126330780022186
1097,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3941362438879577,0.3630761725006391,0.4178841933630637,0.010697288889133063,0.00728500756183015,0.015023672387135185,0.0007327912995048699,0.00026112696131616245,0.0012896166084843824,0.41118169843341223
1098,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.39405515761972215,0.3629362747064591,0.4178500303422617,0.010702431313833888,0.007287951469816484,0.015033393101430747,0.0007338455222998402,0.0002615672168561136,0.0012912170820219865,0.4111006121651767
1099,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3939719465518849,0.3627962788724922,0.4178158276172418,0.010707620832007173,0.007290886540506673,0.015043102815772296,0.000734899720669741,0.0002620077391541733,0.0012928166472699215,0.4110174010973394
1100,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3938874975052916,0.362656185255116,0.4177815851733742,0.01071256594128374,0.007293812773815447,0.015052801521792268,0.0007359538923868286,0.000262448527825613,0.001294415300280936,0.41093295205074615
1101,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3938029615679317,0.3625159941109778,0.41774730299608775,0.010717408426683991,0.007296730118753531,0.015062489211141934,0.0007370080352245408,0.00026288958248531967,0.0012960130371163256,0.41084841611338624
1102,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3937205367919884,0.3623757056969923,0.41771298107086935,0.01072185645181125,0.007299638679433839,0.015072165875491447,0.0007380664282351086,0.000263330902747796,0.0012976098538459524,0.4107659913374429
1103,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3936382906868709,0.3622353202703389,0.4176786193832647,0.010727200286781414,0.007302538400436427,0.015081831506529897,0.0007391308420309393,0.0002637724882271607,0.0012992057465482645,0.4106837452323254
1104,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.393554022468612,0.3620948380884592,0.41764421791887785,0.010732695334999051,0.007305429281720587,0.01509148609596536,0.0007401911163531857,0.00026421433853714827,0.001300800711310318,0.4105994770140665
1105,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3934696690710108,0.3619542594090546,0.4176097766633717,0.010738114570867529,0.007308311323274214,0.015101129635524966,0.0007412423401581737,0.0002646564532911096,0.0013023947442277937,0.4105151236164653
1106,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3933852305619092,0.3618135844900836,0.4175752956024677,0.01074273287543148,0.007311184525113831,0.015110762116954937,0.0007422935125699794,0.00026509883210201155,0.0013039878414050185,0.41043068510736375
1107,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3933002563623814,0.3616728135897594,0.41754077472194623,0.010748125718911877,0.007314048887284635,0.015120383532020647,0.000743351422203268,0.00026554147458243737,0.001305579998954985,0.41034571090783595
1108,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3932155380930438,0.3615319469665472,0.41750621400764654,0.010752447744734678,0.0073169044098605205,0.015129993872506681,0.0007444278084875287,0.00026598438034458697,0.0013071712129993714,0.41026099263849836
1109,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3931307339106783,0.3613909848791619,0.4174716134454667,0.010757182373023734,0.007319751092944128,0.015139593130216891,0.0007455095158907317,0.0002664275490002766,0.0013087614796685602,0.41017618845613285
1110,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.39304710394096987,0.3612499275865652,0.41743697302136384,0.010762552079953087,0.007322588936666869,0.01514918129697443,0.0007465912877204281,0.0002668709801609392,0.0013103507951016564,0.4100925584864244
1111,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3929643976139727,0.3611087753479635,0.4174022927213544,0.010767315217416655,0.007325417941188955,0.015158758364621838,0.0007476731218777704,0.0002673146734376247,0.0013119391554465099,0.41000985215942726
1112,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3928807390936765,0.36096752842280494,0.4173675725315136,0.010772830343571956,0.007328238106699447,0.015168324325021063,0.0007487550162646005,0.00026775862844099965,0.0013135265568597321,0.409926193639131
1113,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.39279818037035136,0.36082618707077696,0.4173328124379763,0.010777620931595523,0.007331049433416277,0.015177879170053548,0.0007498264205409305,0.0002682028447813479,0.0013151129955067155,0.4098436349158059
1114,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.39271640306607053,0.3606847515518039,0.4172980124269364,0.010782013168266904,0.00733385192158628,0.015187422891620247,0.0007508871075500977,0.00026864732206857017,0.0013166984675616535,0.40976185761152506
1115,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3926345460888715,0.3605432221260441,0.41726317248464734,0.010786457402456531,0.0073366455714852395,0.015196955481641725,0.0007519477622438457,0.00026909205991218455,0.001318282969207559,0.409680000634326
1116,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.39255106266181705,0.3604015990538877,0.417228292597422,0.010790926193300843,0.007339430383417904,0.015206476932058169,0.0007530083824431639,0.00026953705792132673,0.0013198664966362831,0.4095965172072716
1117,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3924658198459789,0.3602598825959537,0.4171933727516327,0.010795988669972213,0.0073422063577180344,0.015215987234829469,0.0007540689659702656,0.00026998231570474933,0.0013214490460485336,0.4095112743914334
1118,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3923789932941938,0.3601180730130876,0.4171584129337115,0.010800615519303412,0.007344973494748422,0.015225486381935263,0.0007551295106485964,0.0002704278328708231,0.0013230306136538946,0.4094244478396483
1119,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3922917268659991,0.3599761705663587,0.4171234131301501,0.01080561257938334,0.007347731794900935,0.015234974365374987,0.0007561900143028472,0.00027087360902753606,0.0013246111956708435,0.40933718141145364
1120,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3922043741201192,0.35983417551705765,0.4170883733274999,0.010810591203915795,0.007350481258596537,0.015244451177167944,0.000757254637795634,0.0002713196437824945,0.0013261907883267722,0.40924982866557374
1121,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3921169351354451,0.3596920881266936,0.4170532935123724,0.010815890257028112,0.007353221886285332,0.01525391680935334,0.0007583181260459723,0.0002717659367429221,0.0013277693878580026,0.40916238968089963
1122,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3920294099911421,0.35954990865702463,0.4170181736714387,0.010820589777669877,0.007355953678446577,0.01526337125399035,0.0007593815798076713,0.00027221248751566106,0.0013293469905098071,0.40907486453659664
1123,3.6355173278498323,3.6355173278498323,3.6355173278498323,0.3919409911146965,0.35940763737594417,0.4169830137914299,0.01082574388523564,0.007358676635588732,0.015272814503158169,0.0007604449969261735,0.0002726592957071716,0.001330923592536425,0.408986445660151
