date,file,chrom,dc_trap,mfc,src1,src2,signal,vialstart,trapstart,eject,vial,MINS_ELAPSED,rh,SOLUTION_ID,wt_frac,nh3_bubbler,MZ84,MZ85,MZ283,note,dc_spring,ac_spring_f1,ac_spring_a1,ac_spring_f2,ac_spring_a2,dc_spring_after,ac_spring_f1_after,ac_spring_a1_after,ac_spring_f2_after,ac_spring_a2_after,data_path,code,comptype,compnum,p84_j,p85_j,p283_j,n84_j,n84,n85_j,n85,bad_data,nh3_vial,naoh_vial
180907,3,6.6,610,282,,,1,,9/7/18 13:48,9/7/18 13:52,,4.000000034,5,bd10hg20_002,0.3,,12.80645161,430.3870968,17233.06452,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180907.7fl\Data003.7rw,180907_003_6.6,bd10hg20,2,,456.3,17251.9,,0.000743133,0.026449261,0.024974496,,,
180907,3,18,690,335,,,1,,9/7/18 13:59,9/7/18 14:03,,4.000000024,5,bd10hg20_002,0.3,,18.84210526,498.483871,14193.32258,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180907.7fl\Data003.7rw,180907_003_18.0,bd10hg20,2,,501.1,14192.6,,0.001327533,0.035307132,0.035121013,,,
180907,3,25.5,620,245,,,1,,9/7/18 14:07,9/7/18 14:11,,4.000000034,5,bd10hg20_002,0.3,,23.51612903,289.0416667,9714.08,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180907.7fl\Data003.7rw,180907_003_25.5,bd10hg20,2,,305,9729.7,,0.002420829,0.031347318,0.029754919,,,
180907,3,30.41,650,300,,,1,,9/7/18 14:13,9/7/18 14:16,,3.000000094,5,bd10hg20_002,0.3,,25.44,462.1612903,15218.93548,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180907.7fl\Data003.7rw,180907_003_30.4,bd10hg20,2,,485.6,15222,,0.001671602,0.031901196,0.030367518,,,
180907,3,36.34,670,285,,,1,,9/7/18 14:19,9/7/18 14:22,,2.999999947,5,bd10hg20_002,0.3,,20.67741935,393.6129032,14525.6129,,,,,,,,,,,,C:/MassCenter DataORG/DropletMSProject.7pj/180907.7fl\Data003.7rw,180907_003_36.3,bd10hg20,2,,409.9,14523.4,,0.001423514,0.028223419,0.027097852,,,
180907,4,0.35,620,285,,,1,,9/7/18 14:31,9/7/18 15:01,,29.99999996,13,bd10hg20_002,0.3,,19.5,332.5806452,21580.67742,,40,68,4.93,60,4.17,34,74,4.95,64,4.12,C:/MassCenter DataORG/DropletMSProject.7pj/180907.7fl\Data004.7rw,180907_004_0.3,bd10hg20,2,,361.9,21574.8,,0.000903586,0.0167742,0.015411038,,,
180907,5,0.3,690,330,,,1,,9/7/18 15:04,9/7/18 15:56,,51.99999998,12,bd10hg20_002,0.3,,19.35483871,403.5806452,37181.93548,,35,77,4.98,69,4.26,28,85,4.98,76,4.26,C:/MassCenter DataORG/DropletMSProject.7pj/180907.7fl\Data005.7rw,180907_005_0.3,bd10hg20,2,,415.9,37210.5,,0.000520544,0.011176953,0.010854213,,,
180907,6,0.35,700,315,,,1,,9/7/18 16:01,9/7/18 16:30,,29.00000002,12,bd10hg20_002,0.3,,17.75,334.7096774,21673.29032,,35,74,4.98,66,4.26,29,80,4.95,70,4.16,C:/MassCenter DataORG/DropletMSProject.7pj/180907.7fl\Data006.7rw,180907_006_0.3,bd10hg20,2,,359.6,21683.6,,0.00081898,0.016583962,0.015443418,,,
180910,1,16.5,640,315,,,1,,9/10/18 9:06,9/10/18 9:19,,12.99999989,12,bd10hg20_002,0.3,,19.80645161,391.4193548,28906.29032,,35,77,4.97,67,4.07,31,78,4.87,69,4.1,C:/MassCenter DataORG/DropletMSProject.7pj/180910.7fl\Data001.7rw,180910_001_16.5,bd10hg20,2,,388.4,28958.4,,0.000685195,0.013412343,0.013540975,,,
180910,2,0.3,620,320,,,1,,9/10/18 9:43,9/10/18 9:57,,13.99999997,14,bd10hg20_002,0.3,,32.41935484,1087.032258,56086.16129,,40,77,4.95,68,4.09,36,79,5,70,4.15,C:/MassCenter DataORG/DropletMSProject.7pj/180910.7fl\Data002.7rw,180910_002_0.3,bd10hg20,2,,1108.9,56101,,0.000578028,0.019766136,0.01938147,,,
