MINS_ELAPSED,M_BUTENEDIAL,M_BUTENEDIAL_MIN,M_BUTENEDIAL_MAX,M_C4H5NO,M_C4H5NO_MIN,M_C4H5NO_MAX,M_DIMER,M_DIMER_MIN,M_DIMER_MAX,pH,M_AMMONIA
47,0.2520296669776717,0.1458345139868513,0.4277422613595288,0.008132233778387569,0.004527635806438953,0.01987221385288526,0.10649934826265722,0.08513569152895438,0.12797173495766928,6.9,0.00021749999999999997
48,0.24142925596299905,0.13844783972145228,0.4136675868833062,0.008068109589838262,0.004504953813889862,0.019651813477494437,0.10557269493491833,0.08448911774639052,0.12694862572960847,6.9,0.00021749999999999997
49,0.2313430097473417,0.13148877041959464,0.4001093150675821,0.008004955364614822,0.0044821448484734,0.019434372556300542,0.1046456729034837,0.08382385920153294,0.1259034642374658,6.9,0.00021749999999999997
50,0.22178668374836866,0.12493015854265413,0.3870496952888378,0.007944070889697124,0.004459214417345949,0.019219855023214216,0.1036537154787049,0.08314253478082134,0.12483973316522495,6.9,0.00021749999999999997
51,0.21261707833210175,0.11874664330071395,0.3744712336380932,0.007880661708062758,0.004436167231966825,0.019008224148919846,0.1026861618902086,0.08244754405111987,0.12376061611394755,6.9,0.00021749999999999997
52,0.203837338963222,0.11291453906431548,0.3623567374245453,0.007820260704814024,0.004413009656593956,0.01879944277579692,0.10171037255639567,0.08174108318353479,0.12266901937809754,6.9,0.00021749999999999997
53,0.1954528765757502,0.1074117312471712,0.3506893668796131,0.00775859906157778,0.004389747596977178,0.01859347345901596,0.10072999662731996,0.08102515933948916,0.1215675923377378,6.9,0.00021749999999999997
54,0.1874947042266464,0.10221757469795084,0.3394526649451771,0.007699650297827959,0.004366386553456922,0.01839027852966176,0.09975994860450442,0.08030160453912717,0.12045874624947385,6.9,0.00021749999999999997
55,0.17993738533925047,0.09731279941876506,0.3286305844207485,0.00763851811361983,0.0043429323248091005,0.01818982018623476,0.09877438399075547,0.07957208933016825,0.11934467323594874,6.9,0.00021749999999999997
56,0.1727796419790663,0.09267941759724163,0.31820751232300043,0.007578162870811836,0.004319390551467006,0.017992060601169247,0.09778739765342062,0.07883813455810013,0.11822736408862852,6.9,0.00021749999999999997
57,0.16591685254187938,0.08830063943706082,0.30816828028525983,0.007513868560406922,0.0042957668109136395,0.01779696193377774,0.09678552009906248,0.07810112306275857,0.11710862290071022,6.9,0.00021749999999999997
58,0.15941448512107134,0.0841607919270338,0.2984981796980434,0.0074511770877990985,0.004272066495166475,0.017604486409858018,0.09580313720922708,0.07736231042303088,0.11599008134028335,6.9,0.00021749999999999997
59,0.15314949044599735,0.0802452442301728,0.28918296451099984,0.007385847921841706,0.004248295147594488,0.017414596387647332,0.09483805486021772,0.07662283475392195,0.1148732130195849,6.9,0.00021749999999999997
60,0.14726347934944367,0.07654033450071708,0.2802088562013077,0.007323999482029323,0.004224458174699275,0.017227254405352808,0.09386684455044328,0.07588372616898713,0.11377298311323347,6.9,0.00021749999999999997
61,0.14158692518081845,0.07303330606025138,0.2715625435316839,0.007264589603216115,0.004200560904886561,0.017042423222043638,0.0928836521326146,0.07514591524276143,0.11267646384458367,6.9,0.00021749999999999997
62,0.13616847278994526,0.06971224238970712,0.263231181200672,0.007202948649388327,0.004176608583340396,0.016860065830014436,0.09192245933982753,0.07441024116103379,0.1115846461683852,6.9,0.00021749999999999997
63,0.13102466791267636,0.06656601152972634,0.25520238422121555,0.007142924203722472,0.004152606378083388,0.016680145500047327,0.090972865715207,0.07367745904507925,0.11049851070470387,6.9,0.00021749999999999997
64,0.12608333108406944,0.06358421020999809,0.24746421914685335,0.007084969667756461,0.004128559391914019,0.01650262582610051,0.09002512243651509,0.07294824684491141,0.109418934480561,6.9,0.00021749999999999997
65,0.12134468988706985,0.06075711509000289,0.2400051983728637,0.007027013485954889,0.004104472647036193,0.016327470755791218,0.08911816781692387,0.07222321168579443,0.10834669937962846,6.9,0.00021749999999999997
66,0.11683888546320854,0.05807563417238686,0.23281426969363306,0.006967425755124117,0.004080351080528598,0.01615464460085583,0.0881921345715511,0.07150289573214752,0.10728250024315272,6.9,0.00021749999999999997
67,0.11250270111378788,0.05553126467166443,0.2258808075644159,0.006907780931539466,0.004056199558289932,0.01598411203742474,0.08728978399172507,0.07078778160904935,0.1062269521985746,6.9,0.00021749999999999997
68,0.10833860022509033,0.053116051037281516,0.2191946021409914,0.006846424179919107,0.004032022883912224,0.0158158381402522,0.08636263204239053,0.07007829738762318,0.10518059719188487,6.9,0.00021749999999999997
69,0.10440593515739484,0.05082254836023452,0.21274584501711644,0.006782664348373594,0.004007825760543511,0.01564978841006555,0.08545273588070998,0.06937482121004541,0.1041439104601421,6.9,0.00021749999999999997
70,0.10063163475757728,0.04864378637890687,0.20652512024906866,0.006724841524248714,0.003983612751675153,0.015485928777212644,0.08456228662733165,0.06867768557128649,0.10311730634060627,6.9,0.00021749999999999997
71,0.09702341089100762,0.04657323760587175,0.20052339075382875,0.006670338289172814,0.003952695836566098,0.01532422560712634,0.08368410354006611,0.06798718114964944,0.10210114351952723,6.9,0.00021749999999999997
72,0.09358354320322217,0.04460478637735064,0.1947319858566804,0.0066132159230564746,0.003920779465680438,0.015164645710475369,0.08281970709608019,0.06730356046775511,0.10109572964402752,6.9,0.00021749999999999997
73,0.09026615232379492,0.042732701424748484,0.18914258892414088,0.006557196744754839,0.00388891541362398,0.015007156353838091,0.0819535010844787,0.06662704128053923,0.10010132587843036,6.9,0.00021749999999999997
74,0.08708424855269628,0.04095160989779111,0.18374722508148167,0.006499469834945846,0.0038571108185463726,0.014851725264295497,0.081098814976584,0.06595780946049429,0.0991181511868347,6.9,0.00021749999999999997
75,0.08399557297565262,0.039256471496769474,0.17853824854361278,0.006444882881670468,0.00382537260266128,0.014698320631034476,0.08026319341591495,0.06529602190630017,0.09814638599484056,6.9,0.00021749999999999997
76,0.08108299099695497,0.037642558353114884,0.1735083305289678,0.006387924637911335,0.003793707473031315,0.014546911108968224,0.07944659389830444,0.06464180919384509,0.09718617574824864,6.9,0.00021749999999999997
77,0.0782756271280776,0.03610543177178885,0.16865044703705678,0.006328553478589572,0.003762121923055543,0.014397465828649285,0.07863752089864479,0.06399527777314508,0.09623763418808937,6.9,0.00021749999999999997
78,0.07559290728075549,0.03464092492881028,0.16395786679984858,0.006278001531709405,0.003730622234312012,0.014249954391782041,0.07784068484608286,0.06335651226628249,0.09530084605337732,6.9,0.00021749999999999997
79,0.07297760680169943,0.03324512312811671,0.15942414036071084,0.006224800451957349,0.00369921447913021,0.014104346873435794,0.07704902293087469,0.06272557751705661,0.09437586997787928,6.9,0.00021749999999999997
80,0.07047844296563546,0.031914348025094366,0.1550430879100063,0.006171015809382429,0.0036679045229085173,0.013960613816990748,0.07625510897920583,0.06210252026383175,0.09346274102373554,6.9,0.00021749999999999997
81,0.06809668666295489,0.03064514183927154,0.1508087893084292,0.006115013135306343,0.003636698026409728,0.013818726232944063,0.07550528287690139,0.06148737095575162,0.09256147264594744,6.9,0.00021749999999999997
82,0.06580536244224441,0.02943425238107092,0.14671557230144786,0.0060654615372823404,0.003605600445485234,0.013678655600931794,0.0747491028232744,0.06088014532730492,0.09167205898518843,6.9,0.00021749999999999997
83,0.06362605265764826,0.028278620627441763,0.14275800336222275,0.006010422979058964,0.0035746170372899,0.01354037386467603,0.07400042564477863,0.060280845668084185,0.09082855776404464,6.9,0.00021749999999999997
84,0.06151471511037016,0.027175366840762532,0.13893087644307725,0.005957490874619372,0.0035437528620873883,0.013403853426649091,0.07326188342460471,0.05968946225417183,0.08999577507960052,6.9,0.00021749999999999997
85,0.05948033005285365,0.026121780339228576,0.13522920467036748,0.005905484896928675,0.003513012782241971,0.013269067145998724,0.07253618199280837,0.059105974549171124,0.08917303685426953,6.9,0.00021749999999999997
86,0.05752978912749693,0.025115307444108947,0.13164820979078706,0.005852679392869692,0.003482401468114559,0.013135988333730343,0.07182256219677625,0.05853035218192145,0.08836035411757873,6.9,0.00021749999999999997
87,0.05566879116195112,0.02415354225985137,0.128183314759782,0.0058020858760425035,0.003451923400737514,0.013004590752149622,0.07112461941989985,0.05796255606251556,0.08755772316543556,6.9,0.00021749999999999997
88,0.053834136510459686,0.0232342165406416,0.12483013238326868,0.005749387541422728,0.003421582877855832,0.01287484860945083,0.07043234230875364,0.057402539295119,0.08676512761510803,6.9,0.00021749999999999997
89,0.05211064768743233,0.022355191388916524,0.121584459781388,0.00569608264138503,0.0033913840157032147,0.012746736555617021,0.06975473507185301,0.05685024792261765,0.08598253841412422,6.9,0.00021749999999999997
