SECONDS,MZ150,MZ168,MZ84,MZ85,MZ149
3.877333,69,49,566,2644,184
3.882667,74,56,560,2791,182
3.888,68,43,573,2813,213
3.893333,70,64,607,2975,184
3.898625,73,44,560,2941,183
3.903958,71,57,625,2949,204
3.909292,75,60,588,3046,191
3.914625,74,55,592,3070,200
3.919958,94,47,622,3144,190
3.925292,85,52,634,3061,225
3.930625,75,50,610,2939,188
3.935917,77,53,629,3067,206
3.94125,66,57,653,3077,205
3.946583,79,58,668,3110,203
3.951917,72,65,655,3197,196
3.95725,88,53,654,3155,194
3.962583,80,60,624,3095,205
3.967917,79,54,644,3079,234
3.973208,87,69,663,3171,198
3.978542,87,62,662,3061,226
3.983875,75,56,643,3319,210
3.989208,69,62,719,3341,185
3.994542,76,51,751,3290,176
3.999875,73,56,724,3184,193
4.005208,68,54,707,3291,205
4.010542,64,46,677,3267,178
4.015833,63,51,710,3262,196
4.021167,60,43,713,3229,188
4.0265,78,48,685,3279,197
4.031833,75,53,683,3106,194
4.037167,68,62,708,3178,195
4.0425,77,54,694,3053,211
4.047833,67,38,716,2986,222
4.053167,61,37,664,3073,204
4.058458,65,40,703,3131,209
4.063792,73,49,689,3062,184
4.069125,66,50,708,2996,224
4.074458,75,42,693,2961,212
4.079792,71,50,701,2886,221
4.085125,74,37,651,3013,206
4.090458,68,42,673,3011,198
4.09575,73,44,680,3103,207
4.101083,59,45,791,3157,175
4.106417,46,36,828,3055,161
4.11175,58,40,764,2984,165
4.117083,67,48,723,3003,167
4.122417,61,40,726,2982,186
4.12775,66,42,755,2894,167
4.133083,69,38,728,2860,170
4.138375,63,56,748,2954,191
4.143708,71,45,723,3022,183
4.149042,81,44,687,2837,206
4.154375,73,43,739,2789,213
4.159708,73,52,757,2745,238
4.165042,77,41,732,2760,219
4.170375,66,58,777,2882,193
4.175667,77,46,683,2758,204
4.181,68,50,766,2816,201
4.186333,77,51,742,2633,197
4.191667,68,56,745,2651,230
4.197,82,45,705,2665,207
4.202333,81,59,787,2702,214
4.207667,81,47,750,2669,212
4.213,69,53,797,2721,176
4.218292,69,53,744,2715,182
4.223625,67,46,740,2670,199
4.228958,71,57,683,2725,166
4.234292,61,62,767,2589,193
4.239625,79,63,742,2476,194
4.244958,65,58,700,2481,210
4.250292,69,56,665,2392,207
4.255583,72,44,689,2305,218
4.260917,72,55,718,2370,185
4.26625,63,56,716,2333,223
4.271583,70,53,646,2373,206
4.276917,83,54,754,2320,205
4.28225,71,56,711,2314,212
4.287583,69,47,655,2214,213
4.292917,80,52,719,2135,229
4.298208,80,41,677,2242,228
4.303542,69,56,679,2352,191
4.308875,71,55,642,2200,201
4.314208,86,50,760,2150,200
4.319542,67,59,706,2156,180
4.324875,73,52,718,2132,186
4.330208,80,54,705,2123,215
4.3355,75,55,659,2044,214
4.340833,76,47,673,2115,207
4.346167,68,42,663,2045,211
4.3515,66,50,649,1910,231
4.356833,68,45,669,1929,200
4.362167,78,47,624,1963,201
4.3675,74,49,638,1937,196
4.372833,70,54,669,2010,197
4.378167,69,52,676,1903,198
4.383458,75,47,683,1889,201
4.388792,77,59,656,1849,195
4.394125,62,59,642,1850,198
4.399458,63,46,667,1916,178
4.404792,62,49,713,1905,175
4.410125,67,56,626,1796,184
4.415458,68,44,645,1927,188
4.42075,75,44,623,1846,208
4.426083,80,69,652,1862,196
4.431417,86,51,630,1861,223
4.43675,87,46,629,1801,205
4.442083,67,40,612,1846,200
4.447417,73,55,679,1789,215
4.45275,72,52,670,1821,213
4.458042,74,64,737,1857,204
4.463375,74,47,725,1922,220
4.468708,67,60,752,1982,206
4.474042,74,60,754,1986,215
4.479375,79,54,768,2015,213
4.484708,68,55,809,2147,211
4.490042,64,54,786,2061,207
4.495333,63,50,719,2211,188
4.500667,67,43,725,2264,174
4.506,73,50,811,2295,169
4.511333,72,43,752,2253,202
4.516667,70,48,779,2237,207
4.522,61,51,731,2121,182
4.527333,70,48,742,2277,193
4.532667,70,42,769,2318,213
4.538,62,46,740,2126,180
4.543292,70,50,712,2141,186
4.548625,65,49,733,2062,204
4.553958,55,39,735,2133,209
4.559292,66,54,682,2140,209
4.564625,74,46,732,2044,203
4.569958,61,40,721,2011,204
4.575292,65,53,639,1990,201
4.580583,81,61,692,2019,222
4.585917,82,57,662,1985,223
4.59125,67,47,699,1936,202
4.596583,63,53,742,2000,195
4.601917,54,46,791,1976,201
4.60725,64,51,711,1896,202
4.612583,81,45,679,1942,196
4.617875,66,48,680,1935,185
4.623208,66,49,678,1852,158
4.628542,71,46,679,1831,196
4.633875,71,37,684,1935,196
4.639208,64,45,671,1844,189
4.644542,80,50,687,1797,234
4.649875,74,45,673,1882,186
4.655208,72,50,728,1890,185
4.6605,70,52,688,1806,192
4.665833,73,56,734,1851,184
4.671167,63,54,666,1789,173
4.6765,68,55,699,1783,202
4.681833,70,52,715,1835,194
4.687167,71,55,683,1786,198
4.6925,58,60,669,1718,196
4.697833,67,56,715,1754,211
4.703125,65,50,643,1843,191
4.708458,72,55,712,1705,208
4.713792,72,62,685,1771,167
4.719125,65,46,657,1683,222
4.724458,77,48,632,1682,242
4.729792,78,66,679,1626,196
4.735125,78,54,620,1632,206
4.740417,81,59,675,1805,184
4.74575,60,52,699,1749,185
4.751083,71,55,675,1689,176
4.756417,71,45,700,1704,163
