SECONDS,COUNTS_MZ150,COUNTS_MZ149,COUNTS_MZ168,COUNTS_MZ85,COUNTS_MZ84,COUNTS_MZ283
2.839125,74,195,60,187,1183,153
2.844458,63,200,57,166,1412,154
2.849792,65,211,61,191,1395,149
2.855125,57,194,54,169,1352,154
2.860458,82,214,58,174,1163,145
2.865792,62,218,67,154,1173,168
2.871125,61,185,56,170,1293,135
2.876458,71,211,66,188,1353,173
2.881792,64,166,56,166,1400,144
2.887083,68,197,67,168,1294,159
2.892417,71,211,69,171,1117,148
2.89775,66,218,63,165,1142,135
2.903083,81,196,62,166,1345,151
2.908417,68,206,64,175,1412,166
2.91375,63,213,73,147,1342,160
2.919083,65,207,53,173,1281,155
2.924375,63,199,62,171,1344,153
2.929708,68,208,60,173,1378,162
2.935042,69,235,55,173,1252,164
2.940375,71,231,69,144,1295,150
2.945708,87,232,76,166,1372,144
2.951042,65,215,60,180,1324,162
2.956375,86,235,69,177,1311,178
2.961667,85,231,72,160,1162,162
2.967,73,227,58,165,1237,155
2.972333,68,216,57,182,1431,168
2.977667,81,217,71,151,1367,161
2.983,70,197,72,164,1323,170
2.988333,72,243,69,167,1159,171
2.993667,86,207,58,167,1235,178
2.998958,79,209,56,166,1345,168
3.004292,68,213,57,156,1421,152
3.009625,68,216,59,160,1362,178
3.014958,69,239,64,164,1196,162
3.020292,57,242,70,154,1121,147
3.025625,77,244,65,162,1265,141
3.030958,82,220,63,160,1231,140
3.036292,73,240,63,158,1170,153
3.041625,77,205,69,167,1204,171
3.046917,68,239,58,159,1194,155
3.05225,74,233,55,150,1151,134
3.057583,61,238,61,143,1179,156
3.062917,73,202,64,151,1243,157
3.06825,67,221,63,166,1249,160
3.073583,84,278,71,174,1032,185
3.078917,71,222,63,149,1141,143
3.084208,62,185,51,160,1295,155
3.089542,77,207,58,197,1373,151
3.094875,70,201,45,155,1365,149
3.100208,70,219,68,183,1361,151
3.105542,74,205,61,184,1360,186
3.110875,68,185,55,166,1386,146
3.116208,76,207,56,168,1288,136
3.1215,64,189,61,174,1297,127
3.126833,66,246,57,161,1188,147
3.132167,68,231,56,154,1150,154
3.1375,64,245,53,147,1086,151
3.142833,79,237,55,165,1140,147
3.148167,61,220,64,153,1207,155
3.1535,68,227,57,170,1303,168
3.158833,66,252,57,162,1090,144
3.164125,76,228,59,149,1176,154
3.169458,71,205,64,170,1306,155
3.174792,57,192,58,164,1325,180
3.180125,70,202,65,161,1427,160
3.185458,63,198,55,168,1268,167
3.190792,78,205,58,165,1181,138
3.196125,62,232,53,175,1181,134
3.201458,69,196,56,158,1295,143
3.20675,74,206,71,184,1350,178
3.212083,61,195,55,171,1309,164
3.217417,69,197,62,183,1393,151
3.22275,69,214,48,159,1211,148
3.228083,60,174,59,184,1284,148
3.233417,61,184,65,164,1373,143
3.23875,79,194,61,157,1345,147
3.244042,65,213,67,176,1395,138
3.249375,75,207,69,169,1287,162
3.254708,77,231,70,154,1336,147
3.260042,66,219,60,150,1286,146
3.265375,60,211,60,175,1388,163
3.270708,73,207,49,152,1298,149
3.276042,72,235,60,157,1156,132
3.281333,72,254,65,153,1054,173
3.286667,73,225,56,152,1237,147
3.292,62,184,53,170,1327,152
3.297333,73,201,73,156,1399,143
3.302667,63,224,59,155,1271,146
3.308,63,196,55,157,1321,170
3.313333,63,192,63,175,1397,150
3.318667,58,234,52,159,1377,131
3.323958,61,197,50,159,1337,147
3.329292,77,186,52,157,1373,137
3.334625,67,189,53,148,1393,141
3.339958,67,199,53,162,1364,166
3.345292,67,259,76,162,1234,128
3.350625,72,210,62,160,1240,163
3.355958,71,219,57,182,1323,159
3.361292,73,208,60,180,1270,150
3.366583,70,214,70,151,1291,144
3.371917,57,215,58,153,1320,147
3.37725,68,221,61,155,1370,172
3.382583,65,206,65,182,1281,142
3.387917,70,217,58,156,1265,152
3.39325,84,254,74,180,1337,152
3.398583,68,197,73,196,1379,142
3.403917,65,208,61,179,1388,177
3.409208,1971,444,830,2574,5073,68635
3.414542,3620,779,1701,2810,3474,254925
3.419875,3533,1014,1879,2531,3481,232434
3.425208,2684,912,1546,2110,3567,165827
3.430542,1382,571,774,1292,2728,91123
3.435875,941,450,561,1016,2749,62389
3.441208,669,352,365,819,2780,38798
3.4465,536,292,315,807,2636,31241
3.451833,427,287,228,675,2309,22990
3.457167,361,260,213,614,2206,18288
3.4625,418,262,230,689,2572,19684
3.467833,371,244,192,659,2708,17444
3.473167,260,228,168,489,2482,12617
3.4785,195,207,115,423,2101,8389
3.483792,130,214,88,285,1593,4391
3.489125,134,248,98,336,1721,4887
3.494458,154,195,94,369,2116,6349
3.499792,154,178,97,356,2105,5767
3.505125,139,176,91,342,2105,5093
3.510458,115,215,70,258,1662,3128
3.515792,103,248,72,248,1556,2578
3.521125,107,212,81,255,1738,3244
3.526417,105,217,81,311,1729,3267
3.53175,109,180,85,286,1838,2963
3.537083,96,221,79,242,1767,2527
3.542417,101,181,92,248,1758,2445
3.54775,93,196,86,260,1883,2401
3.553083,95,209,69,264,1842,1979
3.558417,78,201,78,230,1660,1658
3.563708,86,268,61,196,1429,1099
3.569042,74,235,61,210,1358,694
3.574375,70,213,67,212,1494,887
3.579708,89,218,64,211,1528,1112
3.585042,79,205,66,199,1616,1044
3.590375,76,196,64,197,1534,1032
3.595708,74,202,50,204,1335,798
3.601042,74,214,55,187,1442,914
3.606333,68,191,54,203,1560,1057
3.611667,83,220,70,208,1527,861
3.617,61,223,49,164,1372,680
3.622333,73,243,46,181,1206,504
3.627667,80,235,49,172,1225,360
3.633,71,240,57,162,1289,429
3.638333,71,227,66,193,1429,761
3.643625,81,206,58,208,1577,841
3.648958,81,194,64,194,1599,861
3.654292,78,222,52,195,1526,724
3.659625,69,231,45,156,1257,430
3.664958,67,226,63,171,1400,596
3.670292,63,211,57,173,1481,644
3.675625,76,202,53,197,1551,682
3.680958,84,228,59,190,1450,691
3.68625,78,223,67,174,1568,750
3.691583,75,211,71,192,1636,878
3.696917,83,195,58,192,1590,848
3.70225,81,201,81,192,1551,725
3.707583,61,234,57,175,1348,470
3.712917,65,212,60,162,1166,290
3.71825,79,217,58,175,1288,440
3.723542,80,255,73,200,1386,609
3.728875,66,211,66,195,1527,592
3.734208,69,197,54,185,1462,652
3.739542,74,263,77,182,1277,477
3.744875,72,224,58,171,1334,480
3.750208,83,193,68,170,1418,602
3.755542,79,215,72,201,1422,693
3.760875,78,173,55,187,1443,584
3.766167,92,205,58,200,1528,652
3.7715,71,199,67,201,1566,638
3.776833,67,221,54,185,1509,594
3.782167,78,224,64,175,1399,507
3.7875,72,243,63,186,1338,397
3.792833,74,232,60,173,1190,307
3.798167,54,241,56,187,1227,290
3.803458,78,248,59,173,1287,418
3.808792,77,245,57,184,1338,456
